16;0;0;16
32;0;0;8;16;0;0;8
33;10;0;8;16;0;0;8
34;20;0;8;16;0;0;8
35;30;0;8;16;0;0;8
36;40;0;8;16;0;0;8
37;50;0;8;16;0;0;8
38;60;0;8;16;0;0;8
39;70;0;8;16;0;0;8
40;80;0;8;16;0;0;8
41;90;0;8;16;0;0;8
42;100;0;8;16;0;0;8
43;110;0;8;16;0;0;8
44;120;0;8;16;0;0;8
45;130;0;8;16;0;0;8
46;140;0;8;16;0;0;8
47;150;0;8;16;0;0;8
48;160;0;8;16;0;0;8
49;170;0;8;16;0;0;8
50;180;0;8;16;0;0;8
51;190;0;8;16;0;0;8
52;200;0;8;16;0;0;8
53;210;0;8;16;0;0;8
54;220;0;8;16;0;0;8
55;230;0;8;16;0;0;8
56;240;0;8;16;0;0;8
57;250;0;8;16;0;0;8
58;260;0;8;16;0;0;8
59;270;0;8;16;0;0;8
60;280;0;8;16;0;0;8
61;290;0;8;16;0;0;8
62;300;0;8;16;0;0;8
63;310;0;8;16;0;0;8
64;320;0;10;16;0;0;10
65;332;0;9;16;0;0;9
66;343;0;8;16;0;0;8
67;353;0;9;16;0;0;9
68;364;0;8;16;0;0;8
69;374;0;8;16;0;0;8
70;384;0;8;16;0;0;8
71;394;0;10;16;0;0;10
72;406;0;9;16;0;0;9
73;417;0;8;16;0;0;8
74;427;0;8;16;0;0;8
75;437;0;8;16;0;0;8
76;447;0;8;16;0;0;8
77;457;0;11;16;0;0;11
78;470;0;10;16;0;0;10
79;482;0;11;16;0;0;11
80;495;0;7;16;0;0;7
81;504;0;12;16;0;0;12
82;518;0;8;16;0;0;8
83;528;0;8;16;0;0;8
84;538;0;9;16;0;0;9
85;549;0;9;16;0;0;9
86;560;0;9;16;0;0;9
87;571;0;12;16;0;0;12
88;585;0;10;16;0;0;10
89;597;0;9;16;0;0;9
90;608;0;9;16;0;0;9
91;619;0;8;16;0;0;8
92;629;0;8;16;0;0;8
93;639;0;8;16;0;0;8
94;649;0;8;16;0;0;8
95;659;0;8;16;0;0;8
96;669;0;8;16;0;0;8
97;679;0;8;16;0;0;8
98;689;0;8;16;0;0;8
99;699;0;8;16;0;0;8
100;709;0;8;16;0;0;8
101;719;0;8;16;0;0;8
102;729;0;8;16;0;0;8
103;739;0;8;16;0;0;8
104;749;0;8;16;0;0;8
105;759;0;5;16;0;0;5
106;766;0;8;16;0;0;8
107;776;0;8;16;0;0;8
108;786;0;5;16;0;0;5
109;793;0;9;16;0;0;9
110;804;0;8;16;0;0;8
111;814;0;8;16;0;0;8
112;824;0;8;16;0;0;8
113;834;0;8;16;0;0;8
114;844;0;8;16;0;0;8
115;854;0;8;16;0;0;8
116;864;0;8;16;0;0;8
117;874;0;8;16;0;0;8
118;884;0;8;16;0;0;8
119;894;0;9;16;0;0;9
120;905;0;8;16;0;0;8
121;915;0;8;16;0;0;8
122;925;0;8;16;0;0;8
123;935;0;8;16;0;0;8
124;945;0;8;16;0;0;8
125;955;0;8;16;0;0;8
126;965;0;8;16;0;0;8
192;975;0;8;16;0;0;8
194;985;0;8;16;0;0;8
196;0;18;8;16;0;0;8
198;10;18;8;16;0;0;8
199;20;18;8;16;0;0;8
200;30;18;8;16;0;0;8
201;40;18;8;16;0;0;8
202;50;18;8;16;0;0;8
203;60;18;8;16;0;0;8
206;70;18;8;16;0;0;8
207;80;18;8;16;0;0;8
209;90;18;8;16;0;0;8
212;100;18;8;16;0;0;8
214;110;18;8;16;0;0;8
217;120;18;8;16;0;0;8
219;130;18;8;16;0;0;8
220;140;18;8;16;0;0;8
223;150;18;8;16;0;0;8
224;160;18;8;16;0;0;8
225;170;18;8;16;0;0;8
226;180;18;8;16;0;0;8
228;190;18;8;16;0;0;8
230;200;18;8;16;0;0;8
231;210;18;8;16;0;0;8
232;220;18;8;16;0;0;8
233;230;18;8;16;0;0;8
234;240;18;8;16;0;0;8
235;250;18;8;16;0;0;8
238;260;18;8;16;0;0;8
239;270;18;8;16;0;0;8
241;280;18;8;16;0;0;8
244;290;18;8;16;0;0;8
246;300;18;8;16;0;0;8
249;310;18;8;16;0;0;8
250;320;18;8;16;0;0;8
251;330;18;8;16;0;0;8
252;340;18;8;16;0;0;8
305;350;18;8;16;0;0;8
338;360;18;8;16;0;0;8
339;370;18;8;16;0;0;8